faultNumber 	strike	dip	rake	lat	long
1	197	58	60	36.06262258	-120.1210157
2	193	57	60	36.05911593	-120.1146696
3	3	63	140	36.05473589	-120.1029168
4	29	62	100	36.05149881	-120.1028842
5	178	45	45	36.05309255	-120.0985745
6	201	65	56	36.05206967	-120.0987027
7	211	62	55	36.05147172	-120.0937648
8	200	60	135	36.05011304	-120.0906306
9	195	45	130	36.04804435	-120.0895993
10	195	71	60	36.04744703	-120.0870663
11	176	60	75	36.04497011	-120.10328
12	182	60	75	36.03939618	-120.0982108
13	96	50	90	36.03911676	-120.0975069
14	135	66	80	36.03907796	-120.0966025
15	0	69	109	36.03598991	-120.0903189
16	104	61	105	36.0348411	-120.085428
17	91	61	120	36.03434382	-120.0850114
18	92	80	46	36.03374159	-120.0836268
19	11	63	90	36.03338367	-120.0845595
20	186	56	85	36.03301005	-120.0837383
21	151	59	90	36.03304259	-120.0828832
22	118	49	90	36.03182828	-120.0849843
23	191	67	70	36.03166748	-120.0837693
24	85	50	100	36.03196964	-120.0828443
25	151	56	60	36.02896872	-120.0820068
26	180	60	60	36.0278864	-120.0819584
27	133	52	40	36.02649448	-120.0800913
28	82	74	95	36.03211815	-120.0766819
29	68	56	90	36.03035193	-120.0753887
30	203	65	70	36.03359891	-120.0729198
31	356	73	90	36.0305418	-120.0701608
32	58	66	90	36.02873775	-120.0683639
33	310	74	90	36.02852827	-120.0676802
34	349	50	90	36.0279743	-120.0669833
35	331	70	90	36.02556692	-120.0687615
36	123	61	90	36.0262283	-120.0669819
37	1	68	90	36.02655611	-120.0644049
38	357	68	80	36.02312176	-120.0649732
39	194	67	55	36.02324104	-120.0636087
40	359	65	110	36.02598423	-120.0614218
41	160	55	60	36.02519902	-120.0604646
42	354	63	90	36.02396598	-120.0607729
43	14	67	90	36.02319603	-120.0615577
44	347	73	80	36.02297984	-120.0598551
45	356	64	80	36.02086662	-120.0614295
46	187	51	65	36.01869051	-120.0565225
47A	146	63	80	36.02073232	-120.0542943
47B	113	64	85	36.01542238	-120.0503275
48	107	60	90	36.01509247	-120.0496654
49	342	40	60	36.0151315	-120.0475349
50	92	59	90	36.01464699	-120.0447043
51	103	53	115	36.01439742	-120.0440523
52	153	62	90	36.01271836	-120.0430776
53	209	45	90	36.01281966	-120.0426809
54	354	56	70	36.01311651	-120.0423017
55	101	65	60	36.01334403	-120.0412885
56	165	63	70	36.00988952	-120.0380501
57	101	65	120	36.00920772	-120.0381356
58	355	68	90	36.00867954	-120.0363735
59	167	55	75	36.00198256	-120.031621
60	109	68	110	36.002157	-120.0308093
61	120	58	90	36.00129819	-120.0310068
62	1	54	90	36.0018757	-120.0302219
63	307	65	0	35.99810953	-120.0237013
64	3	62	60	35.99453108	-120.0253027
65	192	59	70	35.99480194	-120.0140282
66	192	59	70	35.99315888	-120.0146035
67	192	61	90	35.99058949	-120.0143011
68	20	70	90	35.98714625	-120.0176889
69	356	55	90	35.9854777	-120.0187075
70	142	62	80	35.98524672	-120.0172824
71	81	64	15	35.98562386	-120.0131717
72	12	72	120	35.99487143	-120.0054716
73	348	64	120	35.99291499	-120.0022176
74	8	76	110	35.98759386	-119.993119
75	28	70	120	35.9857951	-119.9927756
76	354	72	120	35.98564113	-119.9916785
77	3	67	135	35.98153464	-119.9856107
78	12	70	115	35.97948584	-119.9907005
79	197	59	70	35.97704586	-119.9946037
80	1	80	90	35.97572246	-119.9944496
81	184	66	57	35.97392337	-119.9812215
82	221	45	70	35.96770614	-119.9888871
83	357	61	90	35.96793435	-119.987293
84	183	47	75	35.96809807	-119.9852387
85	188	43	90	35.96717936	-119.9856341
86	173	63	90	35.96618539	-119.9822898
87	189	47	90	35.96664131	-119.978905
88	160	59	105	35.95540824	-119.9795994
89	21	67	50	35.95458102	-119.9945656
90	186	73	120	35.95674558	-119.9891532
91	175	60	115	35.9568607	-119.9897269
92	151	60	135	35.95754467	-119.9909613
93	30	60	60	35.95853316	-119.9962177
94	28	43	75	35.96040611	-119.9993181
95	13	60	80	35.96796473	-119.9918906
96	350	72	70	35.96842516	-119.9920649
97	40	74	75	35.96954946	-119.9923759
98	161	75	115	35.97084965	-119.9931524
99	23	67	50	35.97014266	-119.993317
100	188	65	110	35.96893963	-119.9942039
101	354	63	65	35.96692555	-119.9969907
102	178	59	130	35.9675747	-119.9964255
103	359	74	70	35.96823024	-119.9950725
104	164	66	60	35.96902189	-119.9953991
105	198	65	100	35.97070256	-119.9952765
106	22	70	65	35.96819167	-119.9985108
107	155	65	100	35.96868801	-120.0003948
108	154	70	115	35.96970452	-120.000872
109	6	60	77	35.96960427	-120.0023237
110	294	60	110	35.97586324	-120.0017523
111	20	57	50	35.97737151	-120.0227708
112	306	62	80	35.98396417	-120.0215341
113	140	68	90	35.98494371	-120.0264673
114	350	60	70	35.98842202	-120.0309043
115	81	31	8	35.98944855	-120.0317463
116	41	50	50	35.98991923	-120.0320666
117	333	65	80	35.99126535	-120.0308839
118	131	66	90	35.99449161	-120.0289407
119	350	54	80	35.99520313	-120.0304439
120	287	66	120	35.99552206	-120.029167
121	315	69	90	35.99362959	-120.0363722
122	314	60	90	35.99699907	-120.0371996
123	7	55	55	36.00196015	-120.0347756
124	138	55	90	36.00295749	-120.0392122
125	342	68	180	36.00367878	-120.0399983
126	348	63	56	36.0058353	-120.0405023
127	153	62	80	36.00965928	-120.0392546
128	314	73	80	36.0088194	-120.0442529
129	355	57	80	36.0095281	-120.0452372
130	305	56	100	36.00743275	-120.0462304
131	296	57	90	36.00317328	-120.0464299
132	354	53	80	36.01045093	-120.0494487
133	319	43	90	36.00790419	-120.0507901
134	314	53	90	36.00822592	-120.0516197
135	293	60	90	36.007418	-120.0529361
136	336	64	70	36.00842501	-120.0541977
137	129	82	108	36.00883502	-120.0523051
138	324	67	70	36.00923088	-120.0532312
139	335	64	72	36.00932031	-120.0542966
140	118	69	90	36.01305623	-120.0651423
141	18	61	60	36.01547366	-120.0564471
142	33	75	60	36.01656861	-120.0564514
143	358	60	75	36.01722332	-120.0556783
144	181	59	85	36.01798066	-120.0565699
145	185	69	60	36.01672168	-120.057535
146	166	66	90	36.01720334	-120.0581152
147	144	63	50	36.01802694	-120.0595534
148	313	63	90	36.01827352	-120.0606896
149	288	46	90	36.01675203	-120.0613084
150	287	52	110	36.01692043	-120.0624218
151	162	85	90	36.01838921	-120.0624976
152	306	59	90	36.01900604	-120.0774258
153	288	55	90	36.01948498	-120.0828438
154	275	83	110	36.02421129	-120.0776027
155	291	67	90	36.02364626	-120.0804644
156	277	80	46	36.02382945	-120.0810314
157	184	88	180	36.02446333	-120.0965968
158	197	77	145	36.02916531	-120.1075316
159	195	65	140	36.03551281	-120.1112265
160	201	75	135	36.03627193	-120.1110114
161	222	59	111	36.03748019	-120.1126481
162	102	50	75	36.03873434	-120.1091384
163	59	49	80	36.03886317	-120.1101096
164	94	70	72	36.03938607	-120.1089774
165	233	57	100	36.03988739	-120.1099928
166	107	57	75	36.04113965	-120.1102429
167	98	60	55	36.04116397	-120.1125177